access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,215,7.2491758823e+01,6.7494591951e+01,7.2613102585e+06,7.7989233920e+06
write,216,7.5411114931e+01,5.9475651026e+01,6.9802064653e+06,8.8504311079e+06
write,217,7.2437759876e+01,5.1731355906e+01,7.2667232242e+06,1.0175359659e+07
write,218,7.2418478966e+01,6.6968883991e+01,7.2686579381e+06,7.8601451992e+06
write,219,7.2498131037e+01,6.9455721855e+01,7.2606720266e+06,7.5787154455e+06
write,220,7.2501142025e+01,6.4112344027e+01,7.2603704893e+06,8.2103557434e+06
write,221,7.2507684946e+01,4.9241925955e+01,7.2597153307e+06,1.0689775873e+07
write,222,7.2506701946e+01,5.2037863016e+01,7.2598137534e+06,1.0115425990e+07
write,223,7.2508662939e+01,5.2317231894e+01,7.2596174121e+06,1.0061410609e+07
write,224,7.2508320093e+01,6.8894134998e+01,7.2596517382e+06,7.6404929391e+06
write,225,7.2492432833e+01,7.2304365873e+01,7.2612427454e+06,7.2801295695e+06
write,226,7.2475106001e+01,6.9929883003e+01,7.2629787115e+06,7.5273277946e+06
write,227,7.5412840843e+01,5.2037649155e+01,6.9800467150e+06,1.0115467561e+07
write,228,7.2496939898e+01,6.9455708027e+01,7.2607913209e+06,7.5787169544e+06
write,229,7.2504537821e+01,6.2945286036e+01,7.2600304453e+06,8.3625825722e+06
write,230,7.2476203918e+01,7.0407495022e+01,7.2628686871e+06,7.4762658697e+06
write,231,7.2506103039e+01,6.4397609949e+01,7.2598737201e+06,8.1739858423e+06
write,232,7.2486366034e+01,6.1355760098e+01,7.2618504804e+06,8.5792295811e+06
write,233,7.2464895964e+01,6.6035269976e+01,7.2640020385e+06,7.9712728091e+06
write,234,7.2508397818e+01,7.1441735029e+01,7.2596439563e+06,7.3680342700e+06
write,235,7.2494449854e+01,5.7998066902e+01,7.2610407150e+06,9.0759085624e+06
write,236,7.2433529854e+01,4.9337656975e+01,7.2671475912e+06,1.0669034248e+07
write,237,7.2505331993e+01,7.1441741943e+01,7.2599509240e+06,7.3680335569e+06
write,238,7.2506914854e+01,6.0325073004e+01,7.2597924358e+06,8.7258104431e+06
write,239,7.2443737984e+01,5.7578633070e+01,7.2661235691e+06,9.1420223776e+06
write,240,7.2460392952e+01,6.4546984911e+01,7.2644534560e+06,8.1550695625e+06
write,241,7.2407947063e+01,6.7849565029e+01,7.2697151811e+06,7.7581212462e+06
write,242,7.2416300058e+01,5.0683106899e+01,7.2688766421e+06,1.0385810662e+07
write,243,7.2471769094e+01,7.0888604879e+01,7.2633131297e+06,7.4255256243e+06
write,244,7.2409487963e+01,6.5039567947e+01,7.2695604790e+06,8.0933064074e+06
write,245,7.2485545158e+01,6.6532310009e+01,7.2619327184e+06,7.9117221682e+06
write,246,7.2410163879e+01,5.1733935833e+01,7.2694926209e+06,1.0174852223e+07
write,247,7.2467679977e+01,6.7849635839e+01,7.2637229750e+06,7.7581131496e+06
write,248,7.2427240133e+01,5.6051544905e+01,7.2677786843e+06,9.3910908771e+06
write,249,7.2459032059e+01,7.1442152977e+01,7.2645898937e+06,7.3679911658e+06
write,250,7.5417824030e+01,4.7164425850e+01,6.9795855127e+06,1.1160639455e+07
write,251,7.2441341877e+01,4.9890954018e+01,7.2663639071e+06,1.0550713298e+07
write,252,7.5415991068e+01,7.1442157984e+01,6.9797551494e+06,7.3679906494e+06
write,253,7.2446169138e+01,5.1632205963e+01,7.2658797320e+06,1.0194899524e+07
write,254,7.5416090012e+01,7.0407953024e+01,6.9797459921e+06,7.4762172367e+06
write,255,7.2477334976e+01,6.5189188957e+01,7.2627553451e+06,8.0747308015e+06
write,256,7.2450134039e+01,6.7849553823e+01,7.2654821000e+06,7.7581225275e+06
write,257,7.2440017939e+01,7.2203444004e+01,7.2664967097e+06,7.2903053208e+06
write,258,7.2460368156e+01,5.6051568985e+01,7.2644559418e+06,9.3910868426e+06
write,259,7.2410439014e+01,5.1733991861e+01,7.2694649993e+06,1.0174841203e+07
write,260,7.2443953991e+01,7.1570822954e+01,7.2661019036e+06,7.3547449963e+06
write,261,7.2453037024e+01,5.6416456938e+01,7.2651909930e+06,9.3303475718e+06
write,262,7.2473181963e+01,6.3740545988e+01,7.2631715311e+06,8.2582466755e+06
write,263,7.2461542130e+01,6.6609895945e+01,7.2643382480e+06,7.9025067452e+06
write,264,7.2430186033e+01,5.7969027042e+01,7.2674830872e+06,9.0804551820e+06
write,265,7.2445007086e+01,6.1641872883e+01,7.2659962801e+06,8.5394088041e+06
write,266,7.2422969103e+01,6.8863903046e+01,7.2682072900e+06,7.6438471931e+06
write,267,7.2432130098e+01,6.8863882065e+01,7.2672880293e+06,7.6438495219e+06
write,268,7.2479737043e+01,7.0340266943e+01,7.2625146485e+06,7.4834113500e+06
write,269,7.2455817938e+01,7.0407899857e+01,7.2649121490e+06,7.4762228823e+06
write,270,7.2428821087e+01,6.5159677982e+01,7.2676200455e+06,8.0783878665e+06
write,271,7.2408355951e+01,7.2203428030e+01,7.2696741292e+06,7.2903069336e+06
write,272,7.2411896944e+01,6.4699254990e+01,7.2693186371e+06,8.1358765582e+06
write,273,7.2461872101e+01,5.4052551031e+01,7.2643051682e+06,9.7383960971e+06
write,274,7.2408229113e+01,7.2091467857e+01,7.2696868636e+06,7.3016289950e+06
write,275,7.2476953030e+01,6.8317273855e+01,7.2627936192e+06,7.7050081523e+06
write,276,7.2457057953e+01,6.9930449963e+01,7.2647878188e+06,7.5272667669e+06
write,277,7.2481486082e+01,6.9694147825e+01,7.2623393980e+06,7.5527884109e+06
write,278,7.2424344063e+01,5.8465544939e+01,7.2680693048e+06,9.0033395318e+06
write,279,7.2419245958e+01,6.6969594955e+01,7.2685809557e+06,7.8600617541e+06
write,280,7.2478702068e+01,6.0325708151e+01,7.2626183552e+06,8.7257185723e+06
write,281,7.2435142040e+01,5.6346703053e+01,7.2669858466e+06,9.3418979902e+06
