access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,191,7.4469219089e+02,6.1202414894e+02,7.1791001778e+05,8.7353086463e+05
write,192,7.4469220400e+02,6.5533364892e+02,7.1791000514e+05,8.1580121039e+05
write,193,7.4469220185e+02,6.2680465102e+02,7.1791000721e+05,8.5293238193e+05
write,194,7.4469218993e+02,6.2641693711e+02,7.1791001870e+05,8.5346029509e+05
write,195,7.4469219017e+02,5.5788167000e+02,7.1791001847e+05,9.5830713349e+05
write,196,7.4469218802e+02,5.3974925804e+02,7.1791002054e+05,9.9050063717e+05
write,197,7.4469220209e+02,6.8756425500e+02,7.1791000698e+05,7.7755930462e+05
write,198,7.4469209409e+02,7.1476154613e+02,7.1791011110e+05,7.4797250480e+05
write,199,7.4469219804e+02,6.9221473312e+02,7.1791001089e+05,7.7233545953e+05
write,200,7.4469219422e+02,5.6812331009e+02,7.1791001456e+05,9.4103159386e+05
write,201,7.4469215202e+02,6.4755190706e+02,7.1791005525e+05,8.2560483286e+05
write,202,7.4469219017e+02,6.7060000706e+02,7.1791001847e+05,7.9722931460e+05
write,203,7.4469210505e+02,7.3826944399e+02,7.1791010052e+05,7.2415564311e+05
write,204,7.4469220901e+02,6.6627069306e+02,7.1791000031e+05,8.0240957552e+05
write,205,7.4469210720e+02,7.3453861809e+02,7.1791009846e+05,7.2783373241e+05
write,206,7.4469219518e+02,6.5109948516e+02,7.1791001364e+05,8.2110644561e+05
write,207,7.4469218516e+02,6.7276965213e+02,7.1791002330e+05,7.9465829398e+05
write,208,7.4469219613e+02,6.4290507102e+02,7.1791001272e+05,8.3157219953e+05
write,209,7.4469214702e+02,6.7653704810e+02,7.1791006007e+05,7.9023312249e+05
write,210,7.4469221497e+02,6.4954908705e+02,7.1790999457e+05,8.2306633118e+05
write,211,7.4469221687e+02,3.9149763799e+02,7.1790999273e+05,1.3655816335e+06
write,212,7.4469207788e+02,7.3247031999e+02,7.1791012673e+05,7.2988893804e+05
write,213,7.4469221187e+02,6.9665695810e+02,7.1790999755e+05,7.6741067147e+05
write,214,7.4469221091e+02,6.4925821805e+02,7.1790999847e+05,8.2343506657e+05
write,215,7.4469220304e+02,3.4322465801e+02,7.1791000606e+05,1.5576444510e+06
write,216,7.4469221401e+02,6.5346282005e+02,7.1790999549e+05,8.1813680533e+05
write,217,7.4469218206e+02,6.9615044713e+02,7.1791002629e+05,7.6796903055e+05
write,218,7.4469220901e+02,6.6140153217e+02,7.1791000031e+05,8.0831682117e+05
write,219,7.4469221497e+02,6.8659163094e+02,7.1790999457e+05,7.7866079327e+05
write,220,7.4469748807e+02,6.4711840987e+02,7.1790491114e+05,8.2615789606e+05
write,221,7.4469220901e+02,6.9257543206e+02,7.1791000031e+05,7.7193322092e+05
write,222,7.4469221091e+02,6.5125493002e+02,7.1790999847e+05,8.2091045972e+05
write,223,7.4469211292e+02,2.9818992090e+02,7.1791009294e+05,1.7928908609e+06
write,224,7.4469220591e+02,6.9610720420e+02,7.1791000330e+05,7.6801673762e+05
write,225,7.4469218802e+02,7.1476154709e+02,7.1791002054e+05,7.4797250381e+05
write,226,7.4469218612e+02,6.8457877803e+02,7.1791002238e+05,7.8095027360e+05
write,227,7.4469208622e+02,7.3905445099e+02,7.1791011868e+05,7.2338646129e+05
write,228,7.4469219518e+02,7.1272778392e+02,7.1791001364e+05,7.5010683751e+05
write,229,7.4469220805e+02,6.0065843320e+02,7.1791000123e+05,8.9005989836e+05
write,230,7.4469211817e+02,6.5172632813e+02,7.1791008788e+05,8.2031668957e+05
write,231,7.4469217491e+02,7.4214016986e+02,7.1791003318e+05,7.2037871781e+05
write,232,7.4469217992e+02,7.1346980309e+02,7.1791002835e+05,7.4932671527e+05
write,233,7.4469218898e+02,7.0616574001e+02,7.1791001962e+05,7.5707720399e+05
write,234,7.4469219494e+02,6.4115652299e+02,7.1791001387e+05,8.3384004503e+05
write,235,7.4469211102e+02,6.9362004614e+02,7.1791009478e+05,7.7077066468e+05
write,236,7.4469217682e+02,7.3572184396e+02,7.1791003134e+05,7.2666319261e+05
write,237,7.4469218397e+02,6.6616247606e+02,7.1791002445e+05,8.0253992563e+05
write,238,7.4469210291e+02,7.0054959917e+02,7.1791010259e+05,7.6314651330e+05
write,239,7.4469211793e+02,6.9885164499e+02,7.1791008811e+05,7.6500068052e+05
write,240,7.4469226909e+02,7.1481125998e+02,7.1790994239e+05,7.4792048465e+05
write,241,7.4469234300e+02,6.9914570618e+02,7.1790987114e+05,7.6467892068e+05
write,242,7.4469235897e+02,6.1044689798e+02,7.1790985574e+05,8.7578786257e+05
write,243,7.4469228697e+02,4.9980972981e+02,7.1790992515e+05,1.0696510134e+06
write,244,7.4469215512e+02,7.2316650105e+02,7.1791005226e+05,7.3927924375e+05
write,245,7.4469229293e+02,6.3645076799e+02,7.1790991941e+05,8.4000524610e+05
write,246,7.4469225812e+02,3.1985306215e+02,7.1790995296e+05,1.6714612028e+06
write,247,7.4469218898e+02,7.3599714398e+02,7.1791001962e+05,7.2639138395e+05
write,248,7.4469221401e+02,7.0002057099e+02,7.1790999549e+05,7.6372324779e+05
write,249,7.4469226408e+02,7.3600475311e+02,7.1790994722e+05,7.2638387421e+05
write,250,7.4469231892e+02,5.0554229689e+02,7.1790989435e+05,1.0575217688e+06
write,251,7.4469234109e+02,3.9183607697e+02,7.1790987298e+05,1.3644021452e+06
write,252,7.4469217396e+02,5.4490137696e+02,7.1791003410e+05,9.8113531476e+05
write,253,7.4469216990e+02,7.0687602901e+02,7.1791003801e+05,7.5631647143e+05
write,254,7.4469219613e+02,6.9184627199e+02,7.1791001272e+05,7.7274678732e+05
write,255,7.4469225812e+02,7.0060701799e+02,7.1790995296e+05,7.6308396900e+05
write,256,7.4469226813e+02,6.3348668885e+02,7.1790994331e+05,8.4393562392e+05
write,257,7.4469212508e+02,7.2464960098e+02,7.1791008122e+05,7.3776620214e+05
write,258,7.4469225907e+02,7.3400502300e+02,7.1790995205e+05,7.2836284119e+05
write,259,7.4469226193e+02,7.3474931002e+02,7.1790994929e+05,7.2762502354e+05
write,260,7.4469221711e+02,7.3517042994e+02,7.1790999250e+05,7.2720822577e+05
write,261,7.4469231510e+02,6.9869934392e+02,7.1790989803e+05,7.6516743382e+05
write,262,7.4469227505e+02,7.2084000802e+02,7.1790993665e+05,7.4166524895e+05
write,263,7.4469228792e+02,7.2816257191e+02,7.1790992423e+05,7.3420689915e+05
write,264,7.4469236112e+02,7.2739575696e+02,7.1790985367e+05,7.3498089435e+05
write,265,7.4469236708e+02,6.2028141093e+02,7.1790984793e+05,8.6190231494e+05
write,266,7.4469226599e+02,6.7237426686e+02,7.1790994538e+05,7.9512558756e+05
write,267,7.4469227791e+02,6.7707035804e+02,7.1790993389e+05,7.8961067731e+05
write,268,7.4469225693e+02,7.1595545292e+02,7.1790995411e+05,7.4672520730e+05
write,269,7.4469226694e+02,6.6278046298e+02,7.1790994446e+05,8.0663509844e+05
write,270,7.4469227409e+02,5.9720573711e+02,7.1790993757e+05,8.9520570680e+05
write,271,7.4469217491e+02,7.1713278413e+02,7.1791003318e+05,7.4549929362e+05
write,272,7.4469236994e+02,7.0142113185e+02,7.1790984517e+05,7.6219828534e+05
write,273,7.4469227695e+02,6.8257465196e+02,7.1790993481e+05,7.8324324302e+05
write,274,7.4469229007e+02,7.0289002299e+02,7.1790992217e+05,7.6060545251e+05
write,275,7.4469233513e+02,5.3155543399e+02,7.1790987873e+05,1.0057690126e+06
write,276,7.4469234896e+02,6.5505681300e+02,7.1790986539e+05,8.1614597908e+05
write,277,7.4469222212e+02,6.6957852912e+02,7.1790998767e+05,7.9844553066e+05
write,278,7.4469228292e+02,4.6310012507e+02,7.1790992906e+05,1.1544414589e+06
write,279,7.4469219208e+02,7.1902699304e+02,7.1791001663e+05,7.4353534593e+05
write,280,7.4469215012e+02,6.9389500999e+02,7.1791005708e+05,7.7046523797e+05
write,281,7.4469226694e+02,6.9909437799e+02,7.1790994446e+05,7.6473506415e+05
write,282,7.4469232798e+02,7.1109681892e+02,7.1790988562e+05,7.5182727552e+05
write,283,7.4469234109e+02,7.1121676183e+02,7.1790987298e+05,7.5170048387e+05
write,284,7.4469226408e+02,6.7422386885e+02,7.1790994722e+05,7.9294431524e+05
write,285,7.4469226003e+02,7.1738085890e+02,7.1790995113e+05,7.4524149532e+05
write,286,7.4469227695e+02,6.9109922004e+02,7.1790993481e+05,7.7358209719e+05
write,287,7.4469235897e+02,6.8240423799e+02,7.1790985574e+05,7.8343883909e+05
write,288,7.4469238091e+02,4.3191467309e+02,7.1790983460e+05,1.2377953733e+06
write,289,7.4469228005e+02,4.0250357485e+02,7.1790993182e+05,1.3282415795e+06
write,290,7.4469225907e+02,7.3070643687e+02,7.1790995205e+05,7.3165084776e+05
write,291,7.4469229412e+02,6.9587306905e+02,7.1790991826e+05,7.6827514640e+05
write,292,7.4469228292e+02,6.6389220691e+02,7.1790992906e+05,8.0528431941e+05
write,293,7.4469224405e+02,7.3015132284e+02,7.1790996653e+05,7.3220710184e+05
write,294,7.4469236898e+02,6.6068757105e+02,7.1790984609e+05,8.0919031540e+05
write,295,7.4469229507e+02,6.7211410308e+02,7.1790991734e+05,7.9543336697e+05
write,296,7.4469227314e+02,6.6780886197e+02,7.1790993848e+05,8.0056137983e+05
write,297,7.4469227791e+02,7.3478168893e+02,7.1790993389e+05,7.2759296000e+05
write,298,7.4469235110e+02,7.2334505391e+02,7.1790986333e+05,7.3909675764e+05
write,299,7.4469235301e+02,6.0169558501e+02,7.1790986149e+05,8.8852568860e+05
write,300,7.4469232297e+02,4.5444342279e+02,7.1790989045e+05,1.1764324384e+06
write,301,7.4469234204e+02,7.1559267497e+02,7.1790987206e+05,7.4710376825e+05
write,302,7.4469226503e+02,7.2776743984e+02,7.1790994630e+05,7.3460552744e+05
write,303,7.4469221497e+02,6.2487637401e+02,7.1790999457e+05,8.5556440640e+05
write,304,7.4469228911e+02,6.7014414287e+02,7.1790992309e+05,7.9777162823e+05
write,305,7.4469225311e+02,6.6700375986e+02,7.1790995779e+05,8.0152769171e+05
write,306,7.4469215202e+02,7.1476160002e+02,7.1791005525e+05,7.4797244842e+05
write,307,7.4469220614e+02,7.3377338505e+02,7.1791000307e+05,7.2859277114e+05
write,308,7.4469228196e+02,5.5788175392e+02,7.1790992998e+05,9.5830698933e+05
write,309,7.4469226408e+02,7.2546171093e+02,7.1790994722e+05,7.3694031807e+05
write,310,7.4469228005e+02,7.0356914878e+02,7.1790993182e+05,7.5987127197e+05
write,311,7.4469233799e+02,6.6833311892e+02,7.1790987597e+05,7.9993339978e+05
write,312,7.4469232512e+02,3.9872530389e+02,7.1790988838e+05,1.3408278301e+06
write,313,7.4469227099e+02,5.7551599479e+02,7.1790994055e+05,9.2894374586e+05
write,314,7.4469228196e+02,6.8166606688e+02,7.1790992998e+05,7.8428721917e+05
write,315,7.4469240713e+02,6.3986125994e+02,7.1790980931e+05,8.3552797688e+05
write,316,7.4469226813e+02,5.6008062696e+02,7.1790994331e+05,9.5454468207e+05
write,317,7.4469227195e+02,4.4572814894e+02,7.1790993963e+05,1.1994350935e+06
write,318,7.4469227099e+02,7.0754324198e+02,7.1790994055e+05,7.5560326533e+05
write,319,7.4469227815e+02,6.8006800795e+02,7.1790993366e+05,7.8613017780e+05
write,320,7.4469235611e+02,7.3070644999e+02,7.1790985850e+05,7.3165083463e+05
write,321,7.4469227314e+02,7.2541203904e+02,7.1790993848e+05,7.3699077935e+05
write,322,7.4469235015e+02,7.1641830897e+02,7.1790986425e+05,7.4624277088e+05
write,323,7.4469228697e+02,5.3923471689e+02,7.1790992515e+05,9.9144577909e+05
write,324,7.4469228911e+02,6.9285397601e+02,7.1790992309e+05,7.7162288521e+05
write,325,7.4469236708e+02,7.2970511007e+02,7.1790984793e+05,7.3265484457e+05
